# BUSCO version is: 4.0.5 
# The lineage dataset is: metazoa_odb10 (Creation date: 2019-11-20, number of species: 65, number of BUSCOs: 954)
# Busco id	Status	Sequence	Gene Start	Gene End	Score	Length
137383at33208a	Fragmented	scaffold3076	1045	4026	360.0	278
139188at33208a	Complete	C2509691	60	2635	797.0	586
143619at33208a	Complete	C2568370	2810	5685	422.8	336
143997at33208a	Complete	scaffold56785	1	5347	557.7	380
146671at33208a	Complete	scaffold53847	5176	7512	444.2	338
147873at33208a	Complete	C2552505	2156	6495	960.6	565
148067at33208a	Complete	C2569942	18560	22646	715.9	765
148325at33208a	Complete	scaffold3040	112	8283	406.6	296
152327at33208a	Complete	C2568910	10706	12951	521.8	369
152977at33208a	Missing
153034at33208a	Complete	scaffold67284	129	3581	843.4	502
157109at33208a	Complete	scaffold65778	4811	7351	205.0	154
157138at33208a	Complete	C2560194	3526	7869	569.3	533
158845at33208a	Complete	scaffold63089	1016	5178	515.2	484
158962at33208a	Complete	C2566352	1490	11126	818.9	573
162821at33208a	Complete	scaffold22555	876	5599	640.0	432
164767at33208a	Fragmented	scaffold66880	7240	8561	563.3	384
166097at33208a	Complete	C2569296	673	6125	830.5	491
168850at33208a	Complete	C2539477	1	4886	682.9	406
168924at33208a	Complete	C2564272	2298	8435	370.9	332
169864at33208a	Complete	C2508923	171	2788	630.6	579
172677at33208a	Complete	scaffold19134	1	4825	233.8	222
176247at33208a	Complete	scaffold67273	7560	15617	347.8	335
177718at33208a	Complete	scaffold65776	8382	10963	502.0	348
177858at33208a	Complete	C2523499	1	1757	629.8	353
178537at33208a	Complete	C2564886	4299	9275	976.2	465
179485at33208a	Complete	scaffold61925	1	2829	608.4	412
180808at33208a	Complete	C2568512	250	7507	714.6	438
182834at33208a	Complete	C2556792	1847	5365	737.7	559
184508at33208a	Complete	C2504293	1	2685	569.1	386
184717at33208a	Complete	C2533787	1	4424	843.3	462
186208at33208a	Complete	C2563498	627	9537	1176.1	708
186707at33208a	Complete	C2564384	4672	9965	535.5	514
187280at33208a	Complete	scaffold66834	1368	10797	658.7	486
189414at33208a	Complete	scaffold14867	10081	13483	694.0	514
190726at33208a	Complete	C2566456	4164	8065	640.2	392
191938at33208a	Missing
192250at33208a	Complete	scaffold67393	11318	14050	450.1	319
194754at33208a	Complete	scaffold67334	1	12306	573.3	386
195986at33208a	Complete	C2565554	7941	10793	294.0	349
196950at33208a	Complete	scaffold67107	1	8405	530.6	517
197549at33208a	Fragmented	C2549217	4535	5954	187.6	186
197652at33208a	Complete	scaffold63809	3508	8925	816.0	435
200997at33208a	Complete	scaffold53114	3646	6036	687.9	496
201397at33208a	Missing
202545at33208a	Fragmented	scaffold25443	1	1362	285.9	166
203128at33208a	Complete	C2550363	2346	5829	886.1	438
203698at33208a	Complete	C2569256	8947	13729	1133.1	792
205220at33208a	Complete	scaffold66885	740	4103	1102.6	651
206786at33208a	Complete	C2496263	1	2503	380.1	290
206858at33208a	Complete	scaffold65410	13962	17964	686.5	514
207599at33208a	Complete	scaffold13231	813	12042	418.1	392
208219at33208a	Complete	C2458401	1	1639	312.1	256
210614at33208a	Complete	scaffold28550	1	3057	396.1	368
212972at33208a	Complete	scaffold16123	990	3398	786.0	641
214788at33208a	Complete	scaffold59973	2016	6097	666.4	521
215654at33208a	Complete	scaffold29898	19988	23570	658.1	425
216257at33208a	Complete	scaffold25412	234	10297	518.7	337
216563at33208a	Complete	C2561816	8	2592	175.6	235
218441at33208a	Complete	scaffold17913	1	2525	225.7	167
219795at33208a	Missing
219856at33208a	Complete	C2569982	970	13595	718.6	394
222489at33208a	Complete	scaffold12050	326	2380	693.7	359
223234at33208a	Complete	scaffold67521	47285	50436	346.3	365
224280at33208a	Complete	scaffold47907	1	2604	593.0	324
226335at33208a	Fragmented	scaffold64769	1	8104	365.3	239
226941at33208a	Complete	scaffold62661	14206	17515	619.9	396
227087at33208a	Complete	C2564122	5169	9822	841.2	681
227453at33208a	Complete	scaffold62336	4870	9136	612.3	355
227979at33208a	Complete	C2522477	1	3687	665.0	435
231157at33208a	Complete	C2507673	1	1743	455.2	352
231700at33208a	Complete	scaffold34982	1696	5509	463.0	750
234290at33208a	Complete	scaffold28067	13576	18642	814.3	472
235149at33208a	Complete	scaffold53529	1661	7478	331.5	348
235430at33208a	Complete	scaffold58850	14635	19617	523.7	354
235458at33208a	Complete	scaffold1476	6026	9178	380.0	291
239016at33208a	Complete	scaffold25252	4234	9285	453.1	411
239149at33208a	Missing
239597at33208a	Complete	scaffold53311	2918	6655	546.5	526
240437at33208a	Complete	scaffold48402	59	2689	422.7	222
244863at33208a	Missing
245482at33208a	Complete	C2569170	10401	15772	593.6	433
245567at33208a	Complete	C2516555	120	3331	529.2	420
246241at33208a	Fragmented	C2547151	1	3189	373.1	282
247183at33208a	Fragmented	C2493555	477	2486	261.5	157
247905at33208a	Fragmented	scaffold21098	1990	2895	185.3	212
249486at33208a	Complete	C2555178	870	5065	460.8	384
251076at33208a	Complete	C2565954	476	5119	559.2	308
251577at33208a	Complete	C2523887	1	3595	284.0	207
255117at33208a	Complete	scaffold58168	10972	15823	1145.2	705
255242at33208a	Fragmented	scaffold11195	2224	10479	275.7	158
255924at33208a	Complete	C2558148	836	7654	619.0	473
257141at33208a	Complete	scaffold62520	1	4720	370.0	269
257339at33208a	Complete	scaffold21891	5547	7885	259.2	290
259581at33208a	Complete	scaffold58065	27342	34292	395.7	397
260752at33208a	Complete	scaffold14816	11430	15573	464.5	464
261284at33208a	Complete	scaffold51786	750	3746	339.6	276
261614at33208a	Complete	scaffold12274	17726	22163	863.1	529
262757at33208a	Complete	scaffold65409	1	4615	285.6	286
266460at33208a	Complete	C2538379	2224	4465	620.2	459
266469at33208a	Complete	scaffold65125	2976	7018	196.3	203
266808at33208a	Complete	C2527223	760	3961	593.3	333
267439at33208a	Complete	scaffold64387	8318	19876	634.5	355
268134at33208a	Fragmented	scaffold1922	1	4585	169.1	139
268397at33208a	Complete	scaffold67485	1	2575	828.5	550
270594at33208a	Complete	C2570092	10190	15154	735.3	550
271297at33208a	Complete	scaffold13086	416	2994	357.5	232
271742at33208a	Complete	C2562664	1	7825	583.1	398
272605at33208a	Complete	scaffold35276	697	4805	557.2	417
273040at33208a	Complete	scaffold67286	291	4483	181.3	122
273367at33208a	Complete	scaffold52847	1091	1895	92.9	154
273989at33208a	Fragmented	C2511685	1	2794	433.7	367
274044at33208a	Complete	C2569946	1354	6185	628.2	560
274064at33208a	Complete	scaffold67438	4086	7669	443.8	263
274769at33208a	Complete	C2555540	1351	3995	588.8	387
274992at33208a	Fragmented	C2564402	7037	9715	312.7	178
277935at33208a	Complete	scaffold60730	9373	16031	641.8	560
278227at33208a	Complete	C2542099	2058	4961	456.9	381
279631at33208a	Complete	C2538087	376	4324	616.9	517
279992at33208a	Complete	scaffold43194	4764	7435	436.8	313
280914at33208a	Complete	scaffold61686	3956	7659	470.1	508
281304at33208a	Complete	scaffold19669	1	3522	217.5	233
281693at33208a	Complete	C2533467	1	4374	673.2	413
283637at33208a	Missing
284059at33208a	Fragmented	C2503487	1667	1960	73.3	59
285146at33208a	Complete	scaffold66502	1400	3995	296.0	235
285902at33208a	Complete	C2568700	5806	10670	508.0	415
285966at33208a	Complete	scaffold57238	576	4418	420.3	360
286553at33208a	Missing
289235at33208a	Complete	scaffold2663	9759	14381	164.4	244
289928at33208a	Complete	C2565572	593	4675	397.8	334
291505at33208a	Complete	scaffold67057	1	4325	622.8	433
291875at33208a	Complete	scaffold66160	2182	12097	475.1	431
295556at33208a	Complete	C2561034	226	7341	473.8	707
295775at33208a	Complete	C2566590	10220	11603	310.6	268
300303at33208a	Complete	scaffold65662	1736	12369	488.2	406
301572at33208a	Complete	scaffold3189	2646	7395	668.4	374
302186at33208a	Complete	scaffold60330	2006	9155	306.3	343
302279at33208a	Complete	scaffold50548	6438	10355	532.0	303
302921at33208a	Complete	C2547369	2127	4012	125.8	200
303117at33208a	Missing
304388at33208a	Fragmented	C2516327	1	3370	212.5	151
305260at33208a	Complete	C2536899	1500	4664	525.0	279
306101at33208a	Fragmented	C2454277	1	1164	192.0	182
307109at33208a	Complete	C2570092	352	5155	542.7	347
308610at33208a	Complete	scaffold62129	1876	5048	603.4	363
311438at33208a	Complete	scaffold60226	1	2225	343.7	238
311758at33208a	Complete	C2539103	1	2605	551.8	324
311761at33208a	Complete	scaffold46654	1186	6453	322.2	408
312577at33208a	Complete	scaffold26041	1	2965	209.3	233
313091at33208a	Complete	scaffold66184	3036	5386	483.0	316
315044at33208a	Complete	scaffold65568	1	4725	343.4	264
315393at33208a	Complete	C2463771	244	1219	323.3	200
317470at33208a	Complete	scaffold32969	632	5971	406.2	291
318483at33208a	Complete	C2569622	416	7966	511.8	320
318532at33208a	Complete	scaffold15780	973	5695	615.8	336
319574at33208a	Complete	C2543115	1516	5155	315.8	240
320390at33208a	Complete	scaffold40870	6165	10075	722.5	542
321332at33208a	Complete	scaffold46331	1	5452	286.1	369
323399at33208a	Complete	C2512499	1	3194	639.1	400
323473at33208a	Missing
324249at33208a	Complete	C2560512	2846	7668	364.6	342
325183at33208a	Complete	C2529161	411	3649	511.4	297
327301at33208a	Fragmented	C2546139	1	3783	205.3	161
331112at33208a	Complete	scaffold10312	7066	12492	439.0	326
331186at33208a	Complete	scaffold65746	190	5570	396.4	382
332870at33208a	Complete	scaffold63823	5134	11295	259.7	217
333062at33208a	Complete	scaffold65860	1	3716	545.1	337
333800at33208a	Complete	scaffold63717	1	3163	729.1	592
334272at33208a	Complete	scaffold65140	1	4321	284.0	215
334331at33208a	Complete	scaffold16478	1	12715	615.5	435
334336at33208a	Fragmented	scaffold1973	790	5133	224.7	145
334342at33208a	Complete	scaffold13231	13567	17704	718.2	663
334764at33208a	Fragmented	C2539561	1	4895	318.9	219
334820at33208a	Complete	C2561350	1	8632	321.0	274
335107at33208a	Complete	C2549745	1	3495	313.7	199
336647at33208a	Complete	C2558150	1	3068	452.4	441
338191at33208a	Complete	C2569986	11452	22146	814.3	442
338482at33208a	Complete	C2550215	1049	4075	485.5	434
339127at33208a	Complete	scaffold64412	2406	9050	440.8	463
339319at33208a	Complete	scaffold42771	10964	14199	257.9	242
340558at33208a	Complete	scaffold39287	406	2387	543.1	328
340577at33208a	Complete	scaffold66086	2362	6656	254.0	306
344338at33208a	Complete	scaffold60376	4314	6692	475.7	309
344346at33208a	Complete	scaffold62291	2209	6120	285.9	280
344442at33208a	Complete	scaffold43194	1029	4701	277.8	247
344581at33208a	Complete	scaffold65333	5764	8345	362.2	242
344611at33208a	Complete	scaffold52638	4101	8445	284.9	261
345099at33208a	Complete	scaffold40197	2986	9003	752.1	645
345959at33208a	Complete	C2551783	2294	6370	77.2	235
346541at33208a	Complete	scaffold63514	2813	5392	368.3	254
347600at33208a	Fragmented	C2447019	1	1444	310.1	184
348449at33208a	Complete	scaffold36789	86	6090	254.5	226
348544at33208a	Complete	scaffold57213	142	2913	482.2	317
348761at33208a	Complete	scaffold58069	330	5175	386.5	228
349064at33208a	Complete	C2569598	15811	18884	475.3	290
349627at33208a	Complete	scaffold67215	2619	9385	245.0	255
351226at33208a	Complete	scaffold27885	12744	23574	189.0	262
352600at33208a	Complete	scaffold64412	615	4305	522.8	296
352854at33208a	Complete	scaffold63309	585	6030	584.7	357
353286at33208a	Fragmented	scaffold58993	1	2860	146.6	101
353768at33208a	Complete	C2559604	1409	3309	354.8	290
354829at33208a	Complete	C2568150	5546	7381	545.4	288
354949at33208a	Fragmented	C2525885	1	3833	243.7	185
355210at33208a	Complete	scaffold65581	1757	4870	484.1	418
355739at33208a	Fragmented	scaffold66672	9882	11524	103.4	89
356175at33208a	Complete	scaffold67526	12377	17060	273.7	257
356334at33208a	Complete	scaffold66022	1364	11175	813.5	720
356503at33208a	Complete	scaffold58982	1	3295	381.1	261
357580at33208a	Fragmented	C2502713	1	2804	268.3	136
359075at33208a	Complete	scaffold45736	1	3227	304.3	225
359324at33208a	Complete	scaffold60796	1	6465	277.9	211
359369at33208a	Complete	scaffold1189	609	3580	347.4	263
359532at33208a	Complete	C2569624	12283	19070	509.4	382
360379at33208a	Complete	C2535389	1	1798	226.2	193
360753at33208a	Complete	C2560472	719	6315	354.8	246
361100at33208a	Complete	C2510469	1	2178	276.4	188
361203at33208a	Fragmented	C2567808	1838	4087	265.3	167
361216at33208a	Complete	scaffold6663	3132	5155	362.5	299
363634at33208a	Complete	scaffold66925	23287	25648	230.0	200
363840at33208a	Complete	C2568424	10840	13972	305.7	319
363851at33208a	Complete	scaffold65138	1	1502	293.4	262
364383at33208a	Fragmented	scaffold61245	1	3158	221.5	148
364694at33208a	Complete	C2539701	1	4908	516.9	496
365323at33208a	Missing
365561at33208a	Complete	C2533279	496	4005	644.7	360
365691at33208a	Complete	scaffold41576	676	3487	292.2	245
366124at33208a	Complete	scaffold2216	726	4112	292.8	234
366814at33208a	Complete	scaffold40619	5385	9875	622.9	365
366936at33208a	Complete	C2505045	16	2244	457.2	215
367493at33208a	Complete	C2557418	1	7067	322.2	262
367551at33208a	Complete	C2569708	15152	18940	647.0	415
367596at33208a	Fragmented	C2425875	1	1151	333.1	284
367957at33208a	Complete	C2566126	145	7618	447.5	300
368565at33208a	Complete	scaffold21891	8068	10545	567.5	329
368670at33208a	Complete	scaffold66674	4464	9746	322.5	185
368875at33208a	Fragmented	C2545473	2066	2320	69.4	63
371241at33208a	Complete	C2569992	396	2017	279.3	176
371297at33208a	Complete	scaffold57510	6117	12153	573.9	328
371526at33208a	Complete	C2569512	15152	18043	500.3	247
372257at33208a	Complete	C2514011	2140	3124	105.6	179
372707at33208a	Complete	scaffold62386	2256	5927	387.5	245
373040at33208a	Complete	scaffold47331	2572	3870	363.5	206
376982at33208a	Complete	C2505201	1	2539	484.6	242
378033at33208a	Complete	C2533373	1	3150	281.2	330
378316at33208a	Complete	scaffold36566	5906	9217	468.5	268
378768at33208a	Complete	scaffold67053	8016	10485	511.5	260
378913at33208a	Complete	scaffold15577	16229	19346	188.8	164
379076at33208a	Complete	C2485595	1	2220	162.9	154
379636at33208a	Complete	scaffold36656	1	2231	279.4	216
379771at33208a	Complete	scaffold32031	11174	18946	269.1	252
380583at33208a	Complete	scaffold63101	186	1439	506.8	273
381303at33208a	Complete	C2559978	1156	4517	250.6	268
382000at33208a	Missing
382262at33208a	Complete	C2493387	242	2033	78.0	121
382750at33208a	Fragmented	C2513171	1206	3224	281.5	217
383313at33208a	Complete	scaffold66489	2324	7795	379.8	290
384187at33208a	Complete	C2518179	218	2725	758.6	422
386666at33208a	Fragmented	scaffold39262	1	1469	70.0	108
387079at33208a	Complete	scaffold66750	688	1933	300.5	232
387117at33208a	Missing
387878at33208a	Complete	C2566896	6278	11585	423.8	346
389367at33208a	Fragmented	C2535411	1	4260	211.3	121
389527at33208a	Complete	scaffold59887	4906	8565	718.4	566
389570at33208a	Complete	scaffold67514	18951	20681	503.2	321
389591at33208a	Complete	scaffold25805	7136	11005	291.4	229
390192at33208a	Complete	scaffold58214	6219	9855	407.3	316
390402at33208a	Complete	scaffold66890	11545	15797	234.6	176
391896at33208a	Complete	C2533289	1	3430	412.4	263
393219at33208a	Fragmented	scaffold57253	1	3929	212.3	130
393291at33208a	Complete	C2569266	4829	9801	522.0	297
393419at33208a	Complete	scaffold67446	3164	6575	559.5	424
393895at33208a	Complete	scaffold40065	6088	7775	769.8	428
395147at33208a	Fragmented	scaffold29427	1	1361	127.1	169
395183at33208a	Complete	scaffold4037	6236	9611	295.6	172
395556at33208a	Complete	C2557948	5304	7455	325.3	256
395919at33208a	Complete	scaffold64089	10361	14952	345.1	273
395948at33208a	Complete	C2519085	1	2955	402.3	332
396237at33208a	Complete	scaffold28850	1054	3475	361.7	269
397019at33208a	Complete	scaffold18052	61	1421	555.8	289
397659at33208a	Complete	scaffold19242	1	5147	262.9	220
398013at33208a	Complete	C2567458	11153	12483	524.8	279
398202at33208a	Complete	C2562232	57	5221	308.8	237
398607at33208a	Complete	scaffold34540	1106	5769	371.7	219
399092at33208a	Complete	C2527235	866	2338	296.4	182
399439at33208a	Complete	scaffold27251	656	1320	183.8	148
400042at33208a	Complete	scaffold66970	6116	9690	257.6	279
401196at33208a	Fragmented	scaffold32792	2306	5431	64.7	109
401220at33208a	Complete	scaffold56869	8042	12855	531.4	366
401679at33208a	Complete	C2505815	1	2845	94.7	79
401779at33208a	Complete	C2555850	5476	6473	294.0	178
403171at33208a	Complete	scaffold62234	8012	10991	390.9	295
403817at33208a	Complete	scaffold28160	7168	9095	95.2	118
404988at33208a	Complete	scaffold64375	406	12659	267.7	295
405257at33208a	Complete	C2513905	1	2786	331.3	264
406927at33208a	Complete	scaffold33868	5458	6771	179.6	253
407472at33208a	Complete	scaffold14167	6919	13265	522.0	464
409006at33208a	Complete	scaffold31933	6593	11327	392.4	282
409186at33208a	Fragmented	C2558224	1	2585	404.9	329
411515at33208a	Complete	scaffold55561	662	4985	387.8	262
411664at33208a	Complete	C2565188	1065	4955	161.7	209
411755at33208a	Complete	scaffold53863	22490	25274	524.9	392
412370at33208a	Complete	C2561404	1040	8005	72.1	348
412542at33208a	Complete	scaffold64964	7466	8598	369.4	225
412930at33208a	Complete	scaffold59392	6769	12506	382.8	299
413334at33208a	Fragmented	C2482275	1104	1670	121.9	147
414001at33208a	Complete	scaffold35293	5924	9995	489.3	276
414571at33208a	Complete	scaffold20368	1	3520	423.0	212
414579at33208a	Complete	scaffold7380	749	2365	367.3	241
414603at33208a	Complete	scaffold51042	1	2592	599.3	449
415618at33208a	Complete	scaffold31540	1	4485	174.6	136
416175at33208a	Complete	scaffold63472	6356	8419	303.0	261
418979at33208a	Complete	scaffold66250	21753	26273	232.8	167
419502at33208a	Complete	C2466337	1	1325	199.3	177
419914at33208a	Complete	scaffold66702	1	8385	285.6	252
421396at33208a	Complete	C2557316	3776	5636	363.2	238
421685at33208a	Complete	scaffold53114	1211	3365	217.1	206
421732at33208a	Fragmented	C2558638	1	1793	98.4	121
422158at33208a	Complete	C2568634	266	2790	408.8	255
422751at33208a	Complete	scaffold12306	48	2830	523.2	358
423799at33208a	Complete	scaffold4450	4519	6545	363.6	251
423848at33208a	Fragmented	C2536231	1	4592	96.0	111
424392at33208a	Complete	C2552221	2038	4845	417.4	231
424569at33208a	Complete	scaffold47461	260	2731	271.5	159
424646at33208a	Complete	scaffold66026	21	6652	217.6	208
427349at33208a	Complete	scaffold52996	2306	3699	315.8	234
427789at33208a	Complete	scaffold27951	8132	10131	643.5	401
428202at33208a	Complete	scaffold59394	1169	5730	356.1	253
428754at33208a	Complete	scaffold63756	4608	10295	327.9	340
429011at33208a	Complete	scaffold67405	14840	19032	191.5	168
429274at33208a	Complete	C2527115	2038	3955	200.4	172
429751at33208a	Complete	scaffold58562	5796	7886	367.1	398
430701at33208a	Missing
432050at33208a	Complete	scaffold64654	12233	14349	467.2	258
432155at33208a	Fragmented	scaffold67029	16527	17332	129.0	104
432287at33208a	Missing
432522at33208a	Complete	scaffold60455	5366	7760	144.7	131
433216at33208a	Complete	scaffold67294	956	9421	373.2	257
433606at33208a	Complete	scaffold64964	13053	14111	409.1	223
434068at33208a	Fragmented	scaffold3338	991	2130	397.0	286
434863at33208a	Complete	C2535193	1	2501	315.2	209
435253at33208a	Complete	scaffold65472	1490	4955	168.1	257
435678at33208a	Complete	C2544817	2216	5362	430.4	342
435921at33208a	Fragmented	scaffold25779	1347	1661	117.4	78
435939at33208a	Complete	scaffold43692	8	2445	207.1	165
436007at33208a	Fragmented	C2554323	1	3665	422.8	232
436098at33208a	Complete	scaffold65864	1	4105	188.8	164
436539at33208a	Complete	scaffold19950	6265	8105	267.7	187
437653at33208a	Complete	scaffold46127	5482	9276	195.0	145
438133at33208a	Fragmented	scaffold48241	1	3201	335.2	169
438433at33208a	Complete	scaffold64863	3008	7735	368.4	202
438453at33208a	Fragmented	scaffold28626	833	1333	225.4	123
439736at33208a	Complete	scaffold16133	5662	9955	556.3	361
440195at33208a	Complete	scaffold4120	20	2180	279.9	203
440493at33208a	Complete	scaffold32369	715	2432	295.9	264
441575at33208a	Missing
442169at33208a	Missing
442203at33208a	Fragmented	C2454901	1	1576	186.1	126
442823at33208a	Complete	scaffold61126	1	10915	96.3	280
443305at33208a	Complete	scaffold62590	166	5655	402.4	394
443518at33208a	Complete	C2563570	6738	8775	408.8	265
443659at33208a	Fragmented	scaffold26399	304	2827	130.7	83
443928at33208a	Complete	C2496505	668	2124	428.3	319
444160at33208a	Missing
444231at33208a	Complete	C2567276	2816	5359	175.1	126
445031at33208a	Missing
445034at33208a	Fragmented	scaffold59852	18416	20622	215.4	188
445091at33208a	Complete	C2561418	1	1778	188.8	172
446000at33208a	Complete	scaffold60300	37	4827	329.7	206
446031at33208a	Complete	scaffold42771	9196	11051	352.6	241
447320at33208a	Complete	scaffold62129	3999	5775	238.2	240
447400at33208a	Fragmented	C2520347	1	3571	124.5	81
448196at33208a	Complete	C2545589	4092	4959	382.2	219
448514at33208a	Complete	C2569168	8734	11615	398.8	293
449056at33208a	Missing
449139at33208a	Complete	scaffold63315	2029	5125	558.5	316
449189at33208a	Complete	scaffold15678	16120	23464	634.3	406
450643at33208a	Complete	scaffold16482	7909	10440	177.2	204
450785at33208a	Complete	C2557392	1	3105	146.6	93
451242at33208a	Fragmented	scaffold45662	1	1814	116.7	118
451957at33208a	Complete	C2568858	230	4406	561.0	354
452208at33208a	Complete	scaffold66154	16497	19980	241.8	185
452499at33208a	Fragmented	scaffold11201	3665	5424	117.3	99
452574at33208a	Missing
453049at33208a	Complete	C2537325	2265	4605	440.9	404
453052at33208a	Complete	scaffold54051	16821	19587	427.6	321
453056at33208a	Complete	scaffold32137	1	7208	480.7	278
453687at33208a	Missing
454911at33208a	Complete	C2549865	1971	5690	408.4	351
455512at33208a	Complete	scaffold66750	7106	8615	229.4	176
455941at33208a	Complete	scaffold1643	9623	14155	282.9	259
456998at33208a	Complete	C2556778	786	2751	236.9	218
457777at33208a	Complete	scaffold60392	1	3313	607.4	320
458807at33208a	Complete	C2567368	1	1351	273.1	206
458974at33208a	Complete	scaffold64837	4134	8335	174.2	145
458988at33208a	Complete	scaffold67485	25679	29276	767.7	465
459253at33208a	Complete	scaffold67522	4483	6665	330.3	211
460044at33208a	Complete	scaffold16679	316	7334	445.9	294
460518at33208a	Complete	C2544701	1	1926	378.0	248
461123at33208a	Complete	scaffold52801	1	1225	230.8	247
461193at33208a	Complete	scaffold57023	706	3821	252.3	192
462325at33208a	Complete	C2504855	697	1900	377.6	274
462897at33208a	Complete	C2340813	1	558	186.9	288
463071at33208a	Complete	scaffold38692	446	5115	281.2	252
464204at33208a	Complete	scaffold32585	7659	19005	426.5	300
464243at33208a	Complete	C2568326	4441	7226	99.1	121
464286at33208a	Complete	C2567274	6784	11753	485.4	397
464312at33208a	Complete	C2551173	713	5995	193.8	231
464987at33208a	Complete	scaffold53778	62	2733	271.3	165
465092at33208a	Complete	scaffold66928	5006	9644	420.3	221
465401at33208a	Complete	C2565088	4980	9495	265.5	189
465512at33208a	Complete	scaffold42716	2775	6660	691.8	495
465651at33208a	Complete	C2569124	1362	4799	139.0	163
465703at33208a	Complete	C2520261	829	3101	305.4	204
465933at33208a	Complete	C2550937	1046	4627	337.6	235
466616at33208a	Complete	scaffold66891	7672	11069	634.3	573
466942at33208a	Complete	scaffold56207	606	7569	157.7	193
467106at33208a	Complete	scaffold62720	7052	12085	376.0	250
467142at33208a	Complete	C2549869	1546	5864	389.8	322
467744at33208a	Complete	C2568898	96	4351	383.5	264
468248at33208a	Fragmented	C2523009	995	3014	213.5	170
468359at33208a	Complete	scaffold66954	7771	10725	426.0	299
468631at33208a	Fragmented	C2457201	1	1076	72.5	88
468710at33208a	Fragmented	C2549021	3123	5480	99.4	78
468757at33208a	Complete	scaffold54476	1	10065	385.9	270
469367at33208a	Complete	C2568804	819	4583	360.0	283
470197at33208a	Complete	scaffold54992	14705	18050	263.1	279
470523at33208a	Complete	C2543167	1	4445	130.0	179
471608at33208a	Complete	scaffold66396	7724	9572	313.9	182
471787at33208a	Complete	scaffold23575	5496	8667	389.0	277
472313at33208a	Complete	scaffold67297	19734	22461	390.5	250
472352at33208a	Missing
473106at33208a	Fragmented	scaffold58244	28	675	265.5	132
474144at33208a	Complete	scaffold67522	996	9800	265.8	201
474302at33208a	Complete	scaffold29575	224	4015	256.2	262
474387at33208a	Fragmented	C2552661	819	6521	201.0	163
475826at33208a	Complete	scaffold62397	3106	6994	317.1	220
476036at33208a	Complete	scaffold53091	2980	7975	367.0	238
477052at33208a	Complete	scaffold56117	10355	13216	352.4	234
477939at33208a	Complete	C2543119	1102	4331	278.7	305
477998at33208a	Complete	scaffold5894	3356	12134	322.3	426
478073at33208a	Complete	C2569976	16949	21909	426.6	226
478984at33208a	Fragmented	C2528403	1	1618	178.0	161
